selling_price,km_driven,fuel,seller_type,transmission,owner,age,brand
310000,90000,Petrol,Individual,Manual,Fourth & Above Owner,23,Honda
375000,190000,Diesel,Individual,Manual,Third Owner,15,Maruti
1950000,106000,Diesel,Individual,Automatic,First Owner,10,Ford
400000,80000,Diesel,Individual,Manual,Second Owner,14,Tata
550000,80000,Diesel,Individual,Manual,Second Owner,12,Nissan
270000,20000,Petrol,Individual,Manual,First Owner,8,Maruti
555000,110000,Diesel,Individual,Manual,Second Owner,14,Maruti
500000,60000,Diesel,Individual,Manual,Second Owner,13,Ford
400000,130000,Diesel,Individual,Automatic,Second Owner,16,Skoda
280000,28838,Petrol,Individual,Manual,First Owner,9,Hyundai
80000,200000,Petrol,Individual,Manual,First Owner,18,Tata
55000,100000,Diesel,Individual,Manual,First Owner,20,Tata
250000,50000,Petrol,Individual,Manual,First Owner,12,Maruti
250000,190000,Diesel,Individual,Manual,Fourth & Above Owner,16,Mahindra
95000,100000,Diesel,Individual,Manual,Second Owner,19,Mahindra
725000,135000,Diesel,Individual,Manual,Second Owner,12,Mahindra
320000,50000,Diesel,Individual,Manual,Third Owner,11,Mahindra
1200000,135000,Diesel,Individual,Automatic,Third Owner,12,Skoda
160000,50000,Diesel,Individual,Manual,First Owner,14,Chevrolet
790000,19571,Diesel,Dealer,Manual,First Owner,8,Honda
1200000,29600,Petrol,Dealer,Manual,First Owner,8,Honda
175000,70000,Petrol,Individual,Manual,First Owner,15,Maruti
950000,15000,Diesel,Individual,Automatic,First Owner,8,Maruti
340000,50000,Petrol,Individual,Manual,First Owner,7,Maruti
825000,13500,Diesel,Individual,Manual,First Owner,9,Renault
3100000,22000,Petrol,Individual,Automatic,First Owner,8,Audi
780000,25000,Diesel,Dealer,Manual,First Owner,8,Honda
350000,80000,Petrol,Individual,Automatic,Third Owner,16,Toyota
690000,39000,Petrol,Dealer,Manual,First Owner,8,Honda
245000,60000,Petrol,Individual,Manual,First Owner,10,Maruti
790000,49000,Diesel,Dealer,Manual,First Owner,8,Honda
680000,48600,Petrol,Dealer,Manual,First Owner,8,Honda
540000,20000,Petrol,Individual,Manual,Second Owner,9,Hyundai
425000,25000,Petrol,Individual,Manual,First Owner,10,Mahindra
140000,120000,Petrol,Individual,Manual,First Owner,18,Maruti
1100000,30000,Diesel,Individual,Manual,First Owner,7,Maruti
715000,35000,Diesel,Individual,Manual,First Owner,11,Renault
1750000,127643,Diesel,Dealer,Automatic,First Owner,11,Audi
400000,54000,Petrol,Dealer,Manual,Second Owner,8,Tata
1750000,102354,Diesel,Dealer,Automatic,First Owner,12,Audi
1850000,62237,Petrol,Dealer,Automatic,First Owner,12,Audi
114999,90000,Petrol,Dealer,Manual,Second Owner,21,Hyundai
950000,21394,Diesel,Dealer,Manual,First Owner,8,Ford
310000,32686,Petrol,Dealer,Manual,First Owner,11,Datsun
490000,22000,Diesel,Dealer,Manual,First Owner,9,Renault
480000,53261,Petrol,Dealer,Manual,First Owner,9,Hyundai
370000,10000,Petrol,Dealer,Manual,First Owner,8,Renault
835000,14000,Diesel,Dealer,Manual,First Owner,9,Maruti
650000,44000,Petrol,Dealer,Manual,First Owner,9,Volkswagen
670000,39895,Diesel,Dealer,Manual,First Owner,12,Toyota
950000,73000,Diesel,Dealer,Automatic,First Owner,9,Chevrolet
690000,17000,Petrol,Dealer,Manual,First Owner,12,Honda
670000,18591,Petrol,Dealer,Manual,First Owner,9,Volkswagen
925000,26766,Diesel,Dealer,Manual,First Owner,9,Tata
250000,30000,Petrol,Individual,Manual,First Owner,11,Hyundai
509999,42000,Diesel,Individual,Manual,First Owner,10,Tata
520000,110000,Diesel,Individual,Manual,First Owner,12,Honda
100000,100000,Diesel,Individual,Manual,First Owner,21,Tata
130000,110000,Diesel,Individual,Manual,Third Owner,17,Tata
950000,27620,Diesel,Dealer,Manual,First Owner,8,Ford
450000,70000,Petrol,Individual,Manual,First Owner,11,Ford
320000,50000,Petrol,Individual,Manual,Second Owner,14,Honda
480000,50000,Diesel,Individual,Manual,First Owner,11,Maruti
2490000,46000,Diesel,Individual,Automatic,First Owner,12,Mercedes-Benz
790000,82000,Diesel,Individual,Manual,First Owner,14,Toyota
120000,120000,Petrol,Individual,Manual,First Owner,10,Maruti
75000,80000,Petrol,Individual,Manual,Third Owner,20,Maruti
99000,70000,Petrol,Individual,Manual,First Owner,16,Tata
1015000,20000,Diesel,Individual,Manual,First Owner,8,Maruti
250000,200000,Diesel,Individual,Manual,Second Owner,13,Mahindra
520000,120000,Diesel,Individual,Manual,First Owner,15,Toyota
1100000,30000,Diesel,Individual,Automatic,First Owner,8,Hyundai
200000,223000,Diesel,Individual,Manual,First Owner,21,Toyota
525000,60000,Diesel,Individual,Manual,First Owner,10,Maruti
500000,40000,Petrol,Individual,Manual,First Owner,10,Hyundai
675000,161327,Diesel,Individual,Manual,First Owner,10,Mahindra
150000,60000,Petrol,Individual,Manual,Third Owner,17,Hyundai
250000,50000,Diesel,Individual,Manual,First Owner,19,Mahindra
450000,6000,Petrol,Individual,Manual,First Owner,8,Hyundai
150000,68000,Petrol,Individual,Manual,Second Owner,17,Hyundai
200000,85000,Diesel,Individual,Manual,First Owner,14,Chevrolet
525000,70000,Diesel,Individual,Automatic,First Owner,15,Mahindra
60000,35000,Petrol,Individual,Manual,Second Owner,27,Maruti
180000,100000,Diesel,Individual,Manual,Second Owner,16,Maruti
475000,110000,Diesel,Individual,Manual,First Owner,11,Honda
380000,195000,Diesel,Individual,Automatic,Second Owner,16,Mahindra
285000,46000,Petrol,Individual,Manual,Second Owner,11,Maruti
91200,60000,Petrol,Individual,Manual,Second Owner,18,Maruti
400000,42000,Diesel,Individual,Manual,First Owner,11,Hyundai
160000,90000,Petrol,Individual,Automatic,Second Owner,20,Hyundai
650000,85000,Diesel,Individual,Manual,Second Owner,14,Skoda
409999,120000,Diesel,Individual,Manual,Third Owner,14,Hyundai
425000,72000,Diesel,Individual,Manual,First Owner,13,Ford
250000,71000,CNG,Individual,Manual,Second Owner,13,Maruti
200000,110000,Petrol,Individual,Manual,Fourth & Above Owner,17,Maruti
130000,144000,Diesel,Individual,Manual,Fourth & Above Owner,16,Volkswagen
260000,30000,Petrol,Dealer,Manual,First Owner,9,Maruti
155000,65000,Petrol,Dealer,Manual,First Owner,19,Hyundai
450000,38000,Diesel,Individual,Manual,First Owner,11,Honda
220000,90000,Petrol,Individual,Manual,Second Owner,14,Maruti
650000,37000,Diesel,Dealer,Manual,First Owner,8,Hyundai
285000,30000,Petrol,Dealer,Manual,First Owner,8,Maruti
725000,26000,Petrol,Dealer,Automatic,First Owner,8,Honda
625000,30000,Petrol,Dealer,Manual,First Owner,10,Maruti
550000,23000,Petrol,Dealer,Manual,First Owner,10,Hyundai
240000,40000,Petrol,Dealer,Manual,First Owner,14,Hyundai
600000,27000,Diesel,Dealer,Manual,First Owner,12,Nissan
350000,65000,Diesel,Dealer,Manual,First Owner,14,Tata
245000,32000,Petrol,Dealer,Manual,First Owner,11,Hyundai
600000,56000,Diesel,Dealer,Manual,First Owner,10,Mahindra
2400000,30000,Diesel,Individual,Automatic,First Owner,9,BMW
620000,80000,Diesel,Dealer,Manual,First Owner,12,Mahindra
395000,52000,Petrol,Dealer,Manual,Second Owner,12,Maruti
635000,13250,Petrol,Dealer,Manual,First Owner,12,Maruti
180000,36000,Petrol,Dealer,Manual,First Owner,15,Maruti
484999,73000,Diesel,Dealer,Manual,Second Owner,11,Maruti
110000,60000,Petrol,Individual,Manual,First Owner,22,Maruti
150000,60000,Petrol,Individual,Manual,Second Owner,20,Maruti
400000,110000,Diesel,Individual,Manual,First Owner,14,Chevrolet
200000,70000,Diesel,Individual,Manual,Second Owner,14,Tata
302000,60000,Diesel,Individual,Manual,Second Owner,13,Renault
215000,90000,Diesel,Individual,Manual,Fourth & Above Owner,15,Maruti
155000,80000,Petrol,Individual,Manual,Second Owner,22,Maruti
1000000,101000,Diesel,Individual,Manual,Second Owner,12,Toyota
550000,44000,Diesel,Individual,Manual,First Owner,8,Mahindra
200000,45000,Petrol,Individual,Manual,First Owner,20,Maruti
750000,120000,Diesel,Individual,Manual,First Owner,9,Mahindra
90000,90000,Petrol,Individual,Manual,Second Owner,21,Maruti
80000,120000,Petrol,Individual,Manual,Second Owner,19,Maruti
229999,13500,Petrol,Individual,Manual,First Owner,13,Hyundai
350000,10000,Petrol,Individual,Manual,First Owner,9,Renault
325000,25000,Petrol,Individual,Manual,Third Owner,11,Hyundai
450000,8500,Petrol,Individual,Manual,First Owner,8,Tata
250000,120000,Diesel,Individual,Manual,First Owner,14,Maruti
225000,120000,Diesel,Individual,Manual,First Owner,14,Volkswagen
150000,90246,Petrol,Individual,Manual,Third Owner,17,Maruti
110000,90000,Petrol,Individual,Manual,Second Owner,18,Maruti
150000,40000,Petrol,Individual,Manual,Second Owner,16,Maruti
165000,60000,Petrol,Individual,Manual,Fourth & Above Owner,26,Maruti
610000,32000,Diesel,Individual,Manual,Second Owner,9,Renault
170000,60400,Diesel,Individual,Manual,First Owner,13,Tata
150000,70950,Diesel,Individual,Manual,Second Owner,18,Hyundai
375000,72000,Diesel,Individual,Manual,First Owner,11,Hyundai
390000,90000,Diesel,Individual,Manual,First Owner,13,Maruti
600000,10000,Petrol,Individual,Manual,First Owner,9,Hyundai
204999,25000,Petrol,Individual,Manual,Second Owner,12,Maruti
270000,80000,Diesel,Individual,Manual,Second Owner,17,Hyundai
375000,10000,Petrol,Individual,Manual,First Owner,9,Hyundai
700000,1100,Petrol,Individual,Manual,First Owner,6,Maruti
455000,40000,Petrol,Individual,Manual,First Owner,9,Maruti
375000,10000,Petrol,Individual,Manual,First Owner,9,Hyundai
341000,31491,Petrol,Individual,Manual,First Owner,12,Hyundai
200000,107143,Diesel,Individual,Manual,Second Owner,12,Maruti
450000,15000,Petrol,Individual,Automatic,First Owner,9,Maruti
170000,50000,Petrol,Individual,Manual,Second Owner,14,Hyundai
1900000,100000,Diesel,Individual,Manual,First Owner,9,Toyota
500000,60000,Diesel,Individual,Manual,First Owner,10,Mahindra
819999,85000,Diesel,Individual,Manual,First Owner,10,Maruti
351000,40000,Petrol,Individual,Manual,Second Owner,12,Maruti
195000,80000,Petrol,Individual,Manual,Second Owner,15,Hyundai
250000,82000,Diesel,Individual,Manual,Second Owner,18,Maruti
120000,70000,Petrol,Individual,Manual,Second Owner,18,Maruti
180000,70000,Petrol,Individual,Manual,Third Owner,17,Maruti
430000,20000,Diesel,Individual,Manual,First Owner,10,Mahindra
75000,35000,Petrol,Individual,Manual,Second Owner,14,Tata
750000,80000,Diesel,Individual,Manual,First Owner,9,Mahindra
60000,40000,Petrol,Individual,Manual,First Owner,15,Tata
1500000,46412,Diesel,Individual,Manual,First Owner,11,Toyota
390000,150000,Diesel,Individual,Manual,Fourth & Above Owner,15,Mahindra
630000,50000,Diesel,Individual,Manual,First Owner,10,Mahindra
1085000,15000,Diesel,Individual,Manual,First Owner,8,Tata
190000,60000,Petrol,Individual,Manual,Second Owner,14,Hyundai
550000,25000,Petrol,Individual,Automatic,First Owner,8,Maruti
200000,90000,Petrol,Individual,Manual,Third Owner,14,Maruti
165000,60000,Petrol,Individual,Manual,First Owner,15,Chevrolet
260000,65000,Diesel,Individual,Manual,First Owner,13,Ford
151000,40000,Petrol,Individual,Manual,First Owner,15,Maruti
780000,50000,Diesel,Individual,Manual,First Owner,8,Maruti
175000,80000,Diesel,Individual,Manual,Third Owner,14,Tata
170000,107500,Diesel,Dealer,Manual,First Owner,16,Tata
210000,135000,Diesel,Dealer,Manual,Second Owner,13,Tata
90000,43826,Petrol,Dealer,Manual,Second Owner,19,Maruti
535000,55838,Petrol,Dealer,Manual,First Owner,10,Hyundai
195000,112880,Diesel,Dealer,Manual,First Owner,19,Maruti
140000,90000,Diesel,Individual,Manual,Third Owner,15,Tata
350000,40000,Petrol,Individual,Manual,First Owner,14,Nissan
425000,66000,Petrol,Individual,Manual,First Owner,13,Hyundai
300000,30300,Petrol,Individual,Manual,First Owner,9,Renault
340000,85000,Diesel,Individual,Manual,Second Owner,13,Volkswagen
250000,80659,Petrol,Dealer,Manual,First Owner,17,Maruti
170000,81324,Petrol,Dealer,Manual,First Owner,18,Chevrolet
315000,127884,Diesel,Dealer,Manual,First Owner,13,Honda
200000,50000,Petrol,Individual,Manual,First Owner,11,Chevrolet
300000,25000,Petrol,Individual,Manual,First Owner,10,Chevrolet
300000,66755,Diesel,Dealer,Manual,First Owner,11,Honda
380000,123084,Petrol,Dealer,Manual,First Owner,13,Honda
310000,95851,Diesel,Dealer,Manual,First Owner,13,Honda
260000,50000,Petrol,Individual,Manual,First Owner,16,Maruti
150000,50000,Petrol,Individual,Manual,Second Owner,18,Maruti
85000,60000,Petrol,Individual,Manual,Second Owner,20,Maruti
280000,15000,Petrol,Individual,Manual,Second Owner,11,Maruti
850000,40000,Diesel,Individual,Manual,First Owner,10,Mahindra
375000,20000,Petrol,Individual,Manual,Second Owner,9,Datsun
125000,120000,Diesel,Individual,Manual,Third Owner,20,Hyundai
250000,110000,Diesel,Individual,Manual,First Owner,14,Chevrolet
715000,234000,Diesel,Individual,Manual,First Owner,12,Toyota
220000,70000,Diesel,Individual,Manual,First Owner,15,Hyundai
110000,110000,Diesel,Individual,Manual,Second Owner,16,Tata
150000,84000,Petrol,Individual,Manual,Second Owner,19,Hyundai
300000,170000,Diesel,Individual,Manual,First Owner,14,Nissan
220000,40000,Petrol,Individual,Manual,First Owner,9,Datsun
75000,96000,Petrol,Individual,Manual,Second Owner,20,Maruti
100000,20000,Diesel,Individual,Manual,First Owner,17,Tata
380000,15000,Petrol,Individual,Manual,First Owner,10,Ford
100000,50000,Petrol,Individual,Manual,First Owner,19,Hyundai
480000,80000,Petrol,Individual,Manual,Second Owner,16,Volkswagen
300000,124000,Diesel,Individual,Manual,First Owner,14,Toyota
190000,70000,Diesel,Individual,Manual,First Owner,13,Chevrolet
190000,130000,Diesel,Individual,Manual,Second Owner,14,Ford
650000,19014,Petrol,Dealer,Manual,First Owner,9,Ford
300000,23262,Petrol,Dealer,Manual,First Owner,17,Toyota
700000,29600,Diesel,Dealer,Manual,First Owner,10,Ford
310000,35925,Petrol,Dealer,Manual,First Owner,11,Hyundai
500000,12000,Petrol,Individual,Manual,First Owner,8,Maruti
415000,40771,Petrol,Dealer,Manual,First Owner,13,Toyota
395000,30500,Petrol,Dealer,Automatic,Second Owner,11,Maruti
430000,42000,Petrol,Dealer,Manual,Second Owner,12,Toyota
215000,55800,Petrol,Dealer,Manual,Second Owner,19,Toyota
550000,66569,Diesel,Dealer,Manual,First Owner,12,Renault
415000,81358,Diesel,Dealer,Manual,First Owner,12,Volkswagen
450000,82695,Diesel,Dealer,Manual,First Owner,11,Volkswagen
285000,68293,Diesel,Dealer,Manual,Second Owner,12,Ford
580000,32000,Petrol,Dealer,Automatic,First Owner,10,Honda
300000,190621,Diesel,Dealer,Manual,First Owner,12,Maruti
1200000,60000,Diesel,Individual,Manual,First Owner,8,Hyundai
78000,64700,Petrol,Individual,Manual,First Owner,20,Maruti
400000,88470,Diesel,Individual,Manual,First Owner,10,Tata
850000,75000,Diesel,Individual,Manual,First Owner,10,Hyundai
450000,120000,Diesel,Individual,Manual,Second Owner,13,Volkswagen
2500000,35000,Diesel,Individual,Automatic,First Owner,14,Mercedes-Benz
780000,70000,Diesel,Individual,Manual,First Owner,9,Toyota
3200000,57000,Diesel,Individual,Automatic,First Owner,9,Toyota
285000,120000,Diesel,Individual,Manual,Second Owner,13,Mahindra
525000,98000,Diesel,Dealer,Manual,First Owner,11,Volkswagen
550000,90000,Diesel,Dealer,Manual,Second Owner,12,Maruti
580000,70000,Diesel,Individual,Manual,First Owner,8,Volkswagen
75000,25000,Petrol,Individual,Manual,Third Owner,13,Tata
185000,60000,Diesel,Individual,Manual,Third Owner,17,Tata
110000,90000,Petrol,Individual,Manual,Fourth & Above Owner,19,Maruti
180000,200000,Petrol,Individual,Manual,Second Owner,22,Honda
350000,110000,Diesel,Individual,Manual,Second Owner,16,Volkswagen
60000,126000,Petrol,Individual,Manual,Second Owner,21,Chevrolet
695000,70000,Diesel,Individual,Manual,First Owner,8,Mahindra
2700000,5000,Diesel,Individual,Automatic,First Owner,7,Mahindra
135000,74183,Petrol,Individual,Manual,Second Owner,19,Maruti
640000,70000,Diesel,Individual,Manual,Second Owner,11,Mahindra
160000,90000,Petrol,Individual,Manual,First Owner,12,Maruti
80000,46000,Petrol,Individual,Manual,Second Owner,22,Tata
340000,110000,Diesel,Individual,Manual,Second Owner,13,Maruti
110000,80000,Diesel,Individual,Manual,Second Owner,14,Maruti
250000,90000,Diesel,Individual,Manual,Second Owner,13,Tata
1300000,70000,Diesel,Individual,Manual,First Owner,9,Toyota
450000,192000,Diesel,Individual,Manual,First Owner,17,Toyota
240000,70000,Petrol,Individual,Manual,Fourth & Above Owner,13,Maruti
225000,120000,Diesel,Individual,Manual,Second Owner,19,Mahindra
275000,60000,Petrol,Individual,Manual,Second Owner,11,Maruti
320000,120000,Diesel,Individual,Manual,Second Owner,14,Tata
75000,120000,Petrol,Individual,Manual,First Owner,18,Maruti
85000,50000,Petrol,Individual,Manual,Second Owner,19,Tata
90000,120000,Diesel,Individual,Manual,First Owner,17,Tata
85000,80000,Petrol,Individual,Manual,Second Owner,19,Maruti
350000,80000,Diesel,Individual,Manual,Second Owner,18,Mahindra
355000,100000,Diesel,Individual,Automatic,Second Owner,17,Skoda
619000,1500,Petrol,Individual,Manual,First Owner,6,Maruti
1700000,50000,Diesel,Individual,Manual,First Owner,8,Other
55000,100000,Diesel,Individual,Manual,Second Owner,20,Tata
95000,83411,Petrol,Individual,Manual,First Owner,20,Ford
300000,120000,Diesel,Individual,Manual,Second Owner,15,Volkswagen
81000,83411,Petrol,Individual,Manual,First Owner,20,Ford
1000000,80000,Diesel,Individual,Automatic,Second Owner,11,Skoda
925000,50000,Diesel,Individual,Manual,First Owner,7,Maruti
450000,40000,Diesel,Individual,Manual,First Owner,11,Mahindra
600000,13270,Diesel,Individual,Manual,First Owner,12,Mahindra
85000,100000,Petrol,Individual,Automatic,Third Owner,20,Hyundai
700000,50000,Diesel,Individual,Manual,First Owner,10,Mahindra
486000,26500,Petrol,Individual,Manual,First Owner,9,Hyundai
400000,90000,Diesel,Individual,Manual,First Owner,13,Maruti
120000,100000,Petrol,Individual,Manual,Third Owner,18,Ford
275000,35000,Petrol,Individual,Manual,First Owner,8,Maruti
580000,57000,Diesel,Individual,Manual,First Owner,10,Hyundai
375000,70000,Petrol,Individual,Manual,First Owner,11,Maruti
229999,100000,Petrol,Individual,Manual,Third Owner,11,Maruti
110000,88000,Petrol,Individual,Manual,Second Owner,16,Maruti
600000,60000,Diesel,Individual,Manual,First Owner,9,Maruti
120000,76000,Petrol,Individual,Manual,Second Owner,17,Maruti
200000,100000,Diesel,Individual,Manual,Second Owner,16,Ford
450000,110000,Diesel,Individual,Manual,Second Owner,14,Hyundai
550000,80000,Diesel,Individual,Manual,Second Owner,14,Hyundai
220000,80000,Petrol,Individual,Manual,Second Owner,14,Maruti
300000,20000,Petrol,Individual,Automatic,First Owner,9,Renault
630000,40000,Diesel,Individual,Manual,First Owner,8,Mahindra
610000,40000,Diesel,Individual,Manual,Second Owner,9,Maruti
660000,7000,Petrol,Individual,Manual,Second Owner,7,Hyundai
220000,80000,LPG,Individual,Manual,Second Owner,14,Maruti
138000,90000,Diesel,Individual,Manual,Second Owner,15,Nissan
210000,13770,Diesel,Individual,Manual,First Owner,13,Nissan
125000,34000,Petrol,Dealer,Manual,First Owner,21,Maruti
125000,102000,Petrol,Dealer,Manual,First Owner,18,Maruti
725000,110000,Diesel,Individual,Manual,First Owner,12,Honda
170000,90000,Petrol,Individual,Manual,Second Owner,15,Maruti
1200000,70000,Diesel,Individual,Manual,Third Owner,11,Toyota
70000,90000,Petrol,Individual,Manual,Second Owner,23,Maruti
100000,70000,Petrol,Individual,Manual,Second Owner,19,Maruti
300000,80000,Petrol,Individual,Manual,Second Owner,20,Honda
450000,100000,Diesel,Individual,Manual,Second Owner,13,Maruti
530000,100000,Diesel,Individual,Manual,First Owner,11,Maruti
100000,143000,Petrol,Individual,Manual,Third Owner,19,Maruti
350000,115000,Petrol,Individual,Manual,Second Owner,16,Honda
165000,100000,Diesel,Individual,Manual,Second Owner,15,Tata
475000,120000,Diesel,Individual,Manual,Second Owner,7,Maruti
350000,42000,Diesel,Individual,Manual,First Owner,13,Mahindra
229999,38000,Petrol,Individual,Manual,First Owner,10,Renault
800000,35000,Diesel,Individual,Manual,First Owner,8,Honda
475000,120000,Diesel,Individual,Manual,Second Owner,12,Maruti
425000,136906,Diesel,Individual,Manual,First Owner,12,Nissan
660000,97000,Diesel,Individual,Manual,Second Owner,11,Maruti
610000,10000,Petrol,Individual,Automatic,First Owner,7,Honda
240000,50000,Petrol,Individual,Manual,Third Owner,13,Honda
70000,60000,Petrol,Individual,Manual,Second Owner,21,Maruti
550000,120000,Diesel,Individual,Manual,First Owner,15,Toyota
100000,120000,Petrol,Individual,Manual,Second Owner,16,Tata
350000,90000,Diesel,Individual,Manual,Second Owner,16,Mahindra
200000,120000,Petrol,Individual,Manual,First Owner,13,Hyundai
720000,3000,Petrol,Individual,Automatic,First Owner,7,Hyundai
350000,133000,Diesel,Individual,Manual,First Owner,12,Maruti
400000,25000,Petrol,Individual,Manual,First Owner,10,Maruti
570000,35000,Petrol,Individual,Manual,First Owner,9,Hyundai
130000,70000,Petrol,Individual,Manual,First Owner,11,Maruti
210000,52000,Petrol,Individual,Manual,First Owner,10,Maruti
800000,52000,Diesel,Individual,Manual,First Owner,8,Hyundai
700000,39000,Diesel,Individual,Manual,First Owner,9,Honda
200000,28689,Diesel,Individual,Manual,First Owner,15,Tata
495000,90000,Diesel,Individual,Manual,Second Owner,12,Tata
325000,80322,Diesel,Dealer,Manual,First Owner,12,Ford
650000,8000,Petrol,Individual,Manual,First Owner,7,Ford
155000,50000,Diesel,Individual,Manual,Second Owner,26,Mahindra
75000,90000,Petrol,Individual,Manual,Second Owner,19,Maruti
350000,61658,Diesel,Dealer,Manual,First Owner,11,Hyundai
90000,50000,Petrol,Individual,Manual,Third Owner,16,Maruti
600000,80000,Diesel,Individual,Manual,First Owner,10,Maruti
400000,185000,Diesel,Individual,Manual,First Owner,16,Mahindra
370000,57000,Diesel,Individual,Manual,Second Owner,12,Maruti
50000,60000,Petrol,Individual,Manual,First Owner,26,Maruti
125000,120000,Petrol,Individual,Manual,Second Owner,22,Honda
1800000,26000,Diesel,Individual,Automatic,First Owner,8,Honda
650000,20000,Petrol,Individual,Automatic,First Owner,7,Hyundai
800000,30600,Petrol,Individual,Automatic,First Owner,9,Maruti
802000,5000,Petrol,Individual,Manual,First Owner,6,Volkswagen
2300000,35000,Diesel,Individual,Automatic,Third Owner,11,Audi
430000,35000,Diesel,Individual,Manual,First Owner,10,Hyundai
650000,23000,Petrol,Individual,Manual,First Owner,9,Hyundai
170000,120000,Diesel,Individual,Manual,First Owner,22,Mahindra
450000,235000,Diesel,Individual,Automatic,First Owner,15,Skoda
250000,87000,Petrol,Individual,Manual,First Owner,13,Maruti
550000,72000,Petrol,Individual,Manual,Second Owner,12,Ford
2000000,64000,Diesel,Individual,Automatic,Second Owner,13,Other
140000,100000,Petrol,Individual,Manual,Second Owner,19,Maruti
155000,12000,Petrol,Individual,Manual,First Owner,14,Chevrolet
120000,67000,Petrol,Individual,Manual,Third Owner,16,Hyundai
287000,70000,Diesel,Individual,Manual,First Owner,14,Toyota
675000,60000,Diesel,Individual,Manual,First Owner,10,Maruti
235000,74500,Petrol,Individual,Manual,Second Owner,15,Hyundai
300000,118700,Diesel,Individual,Manual,Second Owner,15,Hyundai
434999,40000,Petrol,Individual,Automatic,Second Owner,11,Nissan
225000,223660,Diesel,Individual,Automatic,Third Owner,22,Mahindra
160000,140000,Petrol,Individual,Manual,Second Owner,20,Toyota
600000,5000,Petrol,Individual,Manual,First Owner,6,Hyundai
470000,100000,Diesel,Individual,Manual,Second Owner,10,Chevrolet
300000,100000,Petrol,Individual,Manual,Second Owner,15,Maruti
600000,2000,Petrol,Individual,Manual,First Owner,8,Maruti
640000,4000,Petrol,Individual,Automatic,First Owner,6,Hyundai
50000,120000,Diesel,Individual,Manual,Fourth & Above Owner,20,Tata
600000,35000,Petrol,Individual,Manual,First Owner,11,Hyundai
290000,29000,LPG,Individual,Manual,First Owner,12,Hyundai
600000,30000,Petrol,Individual,Manual,First Owner,11,Hyundai
190000,120000,Diesel,Individual,Manual,First Owner,14,Tata
160000,110000,Petrol,Individual,Manual,Third Owner,18,Hyundai
325000,15000,Petrol,Individual,Manual,First Owner,9,Maruti
200000,73756,Diesel,Individual,Manual,First Owner,20,Mahindra
2800000,40000,Diesel,Individual,Automatic,First Owner,8,Toyota
125000,60000,Petrol,Individual,Manual,Third Owner,15,Chevrolet
155000,60000,Petrol,Individual,Manual,Fourth & Above Owner,18,Hyundai
550000,90000,Diesel,Individual,Manual,First Owner,11,Hyundai
130000,70000,Petrol,Individual,Manual,Fourth & Above Owner,17,Maruti
80000,70000,Petrol,Individual,Manual,Second Owner,24,Maruti
500000,80000,Diesel,Individual,Manual,Second Owner,11,Toyota
250000,27000,Petrol,Individual,Manual,First Owner,7,Renault
580000,70000,Diesel,Individual,Manual,First Owner,14,Mahindra
60000,50000,Petrol,Individual,Manual,First Owner,24,Other
300000,185000,Diesel,Individual,Manual,First Owner,14,Toyota
200000,90000,Diesel,Individual,Manual,Second Owner,12,Ford
1200000,16400,Diesel,Individual,Manual,First Owner,9,Tata
350000,80000,Diesel,Individual,Manual,Second Owner,11,Toyota
600000,80000,Diesel,Individual,Manual,Second Owner,14,Mahindra
650000,4000,Petrol,Individual,Manual,First Owner,7,Honda
120000,40000,Petrol,Individual,Manual,First Owner,18,Maruti
180000,120000,Diesel,Individual,Manual,Second Owner,16,Tata
950000,41395,Petrol,Individual,Automatic,First Owner,8,Hyundai
250999,35000,Diesel,Individual,Manual,Second Owner,14,Tata
1250000,47000,Diesel,Dealer,Automatic,Second Owner,17,Audi
165000,50000,Petrol,Individual,Manual,First Owner,13,Chevrolet
700000,48000,Petrol,Dealer,Manual,First Owner,11,Hyundai
750000,53000,Diesel,Dealer,Manual,First Owner,11,Mahindra
290000,15000,Petrol,Dealer,Automatic,First Owner,8,Datsun
45000,7000,Petrol,Individual,Manual,Second Owner,12,Tata
675000,88000,Diesel,Dealer,Automatic,First Owner,13,Skoda
530000,55000,Diesel,Dealer,Manual,First Owner,11,Nissan
1485000,48000,Diesel,Dealer,Automatic,First Owner,12,BMW
325000,71014,Diesel,Dealer,Manual,First Owner,12,Chevrolet
400000,60000,Diesel,Dealer,Manual,First Owner,11,Honda
380000,71000,Diesel,Dealer,Manual,First Owner,9,Mahindra
750000,45000,Petrol,Dealer,Automatic,First Owner,10,Honda
390000,45000,Petrol,Dealer,Manual,First Owner,9,Honda
1825000,14000,Diesel,Dealer,Manual,First Owner,7,Other
3256000,17000,Diesel,Dealer,Automatic,First Owner,7,Audi
370000,60000,Diesel,Dealer,Manual,First Owner,11,Renault
210000,80000,Diesel,Individual,Manual,Second Owner,13,Chevrolet
175000,181000,Diesel,Individual,Manual,Fourth & Above Owner,19,Skoda
575000,89550,Diesel,Individual,Manual,Second Owner,14,Hyundai
320000,90000,Diesel,Individual,Manual,Third Owner,16,Mahindra
280000,149500,Diesel,Individual,Manual,Third Owner,16,Maruti
500000,190000,Diesel,Individual,Manual,Second Owner,13,Renault
380000,83000,Diesel,Dealer,Manual,First Owner,13,Ford
120000,20000,Petrol,Individual,Manual,Second Owner,21,Maruti
395000,20000,Petrol,Individual,Manual,First Owner,8,Maruti
